Pore diameter(um)	Cumulative distribution
41.94249246	0.998319259
41.94249246	0.998360253
42.16513694	0.998401246
42.24646455	0.99844224
43.0991277	0.998483234
43.26447379	0.998524227
43.92702719	0.998565221
44.5944711	0.998606215
44.6373917	0.998647208
45.02551419	0.998688202
45.26971774	0.998729196
45.37821358	0.998770189
45.54536393	0.998811183
45.90249254	0.998852177
46.16542926	0.99889317
46.28191254	0.998934164
46.96712569	0.998975158
47.54597779	0.999016152
48.99039189	0.999057145
49.25669945	0.999098139
50.44352149	0.999139133
50.82745117	0.999180126
52.42184341	0.99922112
52.8907458	0.999262114
53.30706989	0.999303107
53.48556053	0.999344101
53.93112237	0.999385095
55.77777305	0.999426088
56.55724157	0.999467082
58.31483305	0.999508076
58.83558676	0.999549069
59.63173152	0.999590063
59.67974589	0.999631057
62.49723327	0.999672051
67.36467154	0.999713044
67.75531334	0.999754038
69.65485878	0.999795032
72.57556191	0.999836025
88.56822212	0.999877019
98.35429642	0.999918013
116.1536482	0.999959006
623.6437683	1
